"Season","Squad","Rk","Matches.played","Wins","Draws","Loses","Goals.for","Goals.against","Goal.difference","Points","Points.per.match","Expected.goals","Expected.goals.allowed","Expected.goals.difference","Expected.goals.difference.per.90.minutes","Attendance","Assists","Passes.completed","Passes.attempted","Short.passes.completed","Short.passes.attempted","Medium.passes.completed","Medium.passes.attempted","Long.passes.completed","Long.passes.attempted","Progressive.passes","Live.ball.passes","Dead.ball.passes","Passes.from.free.kicks","Through.balls","Switches","Crosses","Throw.in.taken","Corner.kicks","Corner.kicks.in","Corner.kicks.out","Corner.kicks.straight","Passes.offside","Passes.blocked","Passes.into.penalty.area","Shoots.total","Shoots.on.target","Average.shot.distance","Free.kick.shots","Shot.creating.actions","SCA.Live.ball.pass","SCA.Dead.ball.pass","SCA.Take.on","SCA.Shot","SCA.Fouls.drawn","SCA.Deffensive.action","Goal.creatiing.actions","GCA.Live.ball.pass","GCA.Dead.ball.pass","GCA.Take.on","GCA.Shot","GCA.Fouls.drawn","GCA.Deffensive.action","Penalty.kicks.attempted","Penalty.kicks.made","Tackles","Tackles.won","Tackles.def.3rd","Tackles.mid.3rd","Tackles.att.3rd","Dribblers.tackled","Dribblers.challenged","Challenges.lost","Blocks","Shots.blocked","Blocked.passes","Interceptions","Clearances","Errors","Ball.recoveries","Fouls.commited","Yellow.cards","Second.yellow.card","Red.cards","Own.goals","Cleansheets","Possession","Touches","Touches.def.pen","Touches.def.3rd","Touches.mid.3rd","Touches.att.3rd","Touches.att.pen","Takes.on.attempted","Takes.on.succesful","Times.tackled.during.take.on","Carries","Total.carrying.distance","Progressive.carrying.distance","Progressive.carries","Carries.into.final.third","Carreis.into.penalty.area","Miscontrols","Dispossessed","Fouls.drawn","Passes.recived","Progressive.passes.recived","Aerials.won","Aerial.lost","Age","Substitute.apperances","Matchehs.as.unused.sub"
"2022/2023","Leicester City",18,"38","9","7","22","51","68","-17","34","0.89","50.6","63.4","-12.8","-0.34","31887","36","14887","18871","7245","8221","6087","7165","1165","2422","1304","17049","1739","464","76","93","496","724","135","70","41","6","83","393","220","412","142","17.7","14","744","540","52","50","50","38","14","87","59","2","8","8","7","3","6","3","700","412","345","292","63","308","669","361","517","170","347","367","1067","777","2013","410","63","2","2","5","7","47.7","23125","2681","8408","10293","4641","688","620","291","245","12503","63356","31619","580","363","175","548","313","397","14797","1294","512","558","26.1","138","203"
"2022/2023","Leeds United",19,"38","7","10","21","48","78","-30","31","0.82","47.4","67.2","-19.8","-0.52","36566","31","12437","16924","6115","7225","4782","5973","1072","2528","1429","14953","1911","484","41","87","653","837","199","93","68","4","60","414","270","459","141","16.6","19","783","535","99","32","54","48","15","69","43","7","4","9","3","3","3","1","840","480","376","343","121","412","863","451","536","131","405","392","1232","734","2206","467","89","2","3","1","5","47.0","21642","2125","6971","9290","5587","796","688","268","328","11342","55021","27062","555","379","146","602","421","405","12329","1418","586","607","25.3","157","185"
"2022/2023","Southampton",20,"38","6","7","25","36","73","-37","25","0.66","37.7","61.0","-23.3","-0.61","30440","25","12319","16391","5972","6925","4830","5823","1170","2625","1125","14585","1749","426","38","87","613","752","157","63","65","2","57","375","239","413","132","18.1","17","718","493","77","46","51","38","13","61","35","5","7","5","6","3","4","2","713","426","377","279","57","297","611","314","542","165","377","428","1141","852","2130","430","73","0","0","5","4","44.5","21095","2639","7452","8998","4880","712","759","361","318","11324","61010","29821","588","453","131","567","400","378","12216","1112","551","611","24.7","175","167"
"2021/2022","Manchester City",1,"38","29","5","3","99","26","+73","93","2.45","88.7","24.6","+64.0","+1.68","52774","63","24406","27902","11713","12605","10158","11162","1972","2895","2421","26239","1597","406","102","192","869","664","316","154","50","4","66","355","535","704","237","16.3","17","1286","997","78","70","88","42","11","158","112","10","6","19","8","3","9","7","498","284","183","214","101","227","509","282","267","55","212","279","777","403","1967","321","42","0","1","0","21","67.9","31381","1837","6566","15281","9729","1499","741","425","316","21064","110018","61200","1145","840","386","497","316","330","24212","2402","482","397","27.0","79","261"
"2021/2022","Liverpool",2,"38","28","6","2","94","26","+68","92","2.42","88.7","33.8","+54.9","+1.45","53352","71","21163","25552","9420","10506","9245","10569","2000","3211","2243","23742","1747","436","112","167","897","780","282","47","207","0","63","374","511","721","237","16.7","13","1249","912","105","63","104","49","16","163","121","9","9","19","5","0","8","7","554","320","207","240","107","233","576","343","359","74","285","340","894","523","2265","363","50","0","1","1","21","62.7","29575","2130","7195","14176","8419","1377","635","343","291","17262","84190","45325","885","672","290","590","366","286","21042","2227","571","467","27.7","111","231"
"2021/2022","Chelsea",3,"38","21","6","6","76","33","+43","74","1.95","63.4","33.2","+30.1","+0.79","36443","52","21190","24888","10628","11617","8318","9322","1524","2514","1967","23158","1661","434","77","101","745","713","241","113","100","0","69","364","437","583","200","17.4","26","1064","818","62","48","75","49","12","135","97","9","8","10","9","2","9","8","621","348","267","269","85","257","567","310","408","96","312","347","968","641","2084","409","63","0","1","1","16","61.8","28975","2279","7926","13385","7881","1066","624","364","260","17090","86187","46504","894","729","243","591","383","392","21040","1956","538","486","27.4","111","226"
"2021/2022","Tottenham",4,"38","22","14","11","69","40","+29","71","1.87","61.2","39.3","+21.9","+0.58","56523","50","17204","20696","8270","9143","6856","7812","1376","2371","1459","18976","1658","430","88","133","632","676","193","78","62","0","62","332","338","486","185","16.7","16","882","678","51","46","61","37","9","117","95","3","4","8","6","1","5","5","598","349","286","244","68","262","584","322","470","161","309","355","953","793","1893","386","69","1","1","1","16","51.8","24853","2515","8010","11453","5627","864","667","375","291","15122","82037","42338","791","596","195","588","341","406","17097","1450","560","500","26.5","106","236"
"2021/2022","Arsenal",5,"38","22","10","13","61","48","+13","69","1.82","60.5","45.7","+14.9","+0.39","59665","41","16176","19843","7325","8210","7187","8140","1326","2584","1655","18149","1628","404","77","132","633","679","208","153","23","5","66","309","329","581","186","17.8","21","1030","788","68","57","66","39","12","99","69","8","4","13","4","1","8","5","540","311","261","195","84","244","500","256","386","123","263","296","836","658","1861","365","67","3","4","1","13","52.8","23780","2227","7151","10336","6491","982","590","319","271","13993","73530","39388","734","494","223","557","337","357","16066","1642","463","572","24.4","110","232"
"2021/2022","Manchester Utd",6,"38","16","8","12","57","57","0","58","1.53","55.8","53.0","+2.8","+0.07","73150","46","16690","20641","8162","9234","6398","7436","1548","2626","1568","18862","1691","376","80","187","659","725","197","74","88","0","88","369","312","503","179","17.7","19","917","706","65","56","38","39","13","104","77","6","6","7","5","3","5","3","585","358","320","197","68","265","608","343","404","133","271","340","925","704","2071","396","77","1","2","3","8","52.7","24652","2256","7391","11141","6331","883","631","368","263","13954","76394","41495","784","587","213","538","333","320","16590","1562","555","443","27.2","114","227"
"2021/2022","West Ham",7,"38","16","7","14","60","51","+9","56","1.47","51.4","53.5","-2.1","-0.06","58370","46","14326","18378","6627","7493","5789","6856","1479","2906","1449","16647","1672","309","29","146","802","770","200","135","43","1","59","353","271","443","142","16.6","13","770","569","68","47","50","28","8","102","72","10","5","9","5","1","6","4","534","301","273","199","62","240","557","317","420","175","245","374","908","781","1970","323","52","2","3","2","8","47.9","22331","2444","7012","9992","5543","810","545","306","239","12622","68100","32664","646","479","171","520","294","276","14229","1437","639","628","28.2","95","247"
"2021/2022","Leicester City",8,"38","14","6","14","62","59","+3","52","1.37","47.8","59.3","-11.5","-0.30","32493","46","16129","20137","7751","8789","6573","7579","1329","2581","1356","18268","1809","457","65","105","556","769","185","113","42","2","60","379","254","433","164","17.8","14","745","566","41","48","42","33","15","105","81","3","4","8","5","4","2","2","690","384","336","270","84","306","720","414","469","146","323","367","1057","777","2015","356","55","0","1","1","7","52.0","24409","2771","8575","11067","4962","746","547","297","250","13897","68708","34763","622","467","157","601","368","396","16036","1351","530","553","26.5","109","232"
"2021/2022","Brighton",9,"38","12","14","11","42","44","-2","51","1.34","46.2","42.9","+3.3","+0.09","30966","30","16410","20588","7195","8172","7130","8208","1579","2953","1547","18838","1697","390","58","152","728","784","200","84","96","0","53","397","342","482","141","17.7","15","870","630","84","49","55","40","12","72","49","8","4","6","4","1","7","4","668","403","306","257","105","243","563","320","480","150","330","358","1026","723","2154","393","72","0","2","0","11","54.4","24854","2629","8034","10520","6505","876","559","317","242","13919","68537","35095","676","519","139","598","349","355","16278","1529","569","498","26.2","111","231"
"2021/2022","Wolves",10,"38","15","7","17","38","43","-5","51","1.34","37.5","56.9","-19.4","-0.51","30841","22","15253","19103","6533","7415","6610","7664","1718","3005","1283","17380","1662","420","58","151","587","718","168","41","86","6","61","329","212","401","133","18.6","13","692","496","44","65","37","31","19","58","37","4","5","8","2","2","1","1","673","377","377","242","54","273","671","398","437","135","302","389","1062","820","2104","366","62","2","2","1","11","49.5","23334","2657","8472","10204","4887","703","771","450","321","12837","69338","36188","723","522","190","598","341","335","15117","1262","461","490","27.3","107","230"
"2021/2022","Newcastle Utd",11,"38","13","12","15","44","62","-18","49","1.29","38.1","57.1","-19.0","-0.50","51487","23","10201","14036","4545","5432","3917","4880","1343","2746","923","12203","1762","415","31","114","592","743","160","90","46","14","71","281","193","446","142","18.1","15","758","504","81","61","57","44","11","70","46","4","5","9","6","0","3","3","659","383","334","266","59","304","641","337","420","162","258","360","1019","776","1835","392","81","1","2","2","8","40.4","18281","2310","6731","7483","4314","727","632","359","273","9243","50896","23964","544","397","163","622","359","366","10113","911","677","619","27.5","108","233"
"2021/2022","Crystal Palace",12,"38","11","11","12","50","46","+4","48","1.26","46.4","40.7","+5.7","+0.15","24588","31","14983","19081","6553","7495","6521","7610","1467","2871","1229","17115","1903","528","40","120","643","844","175","88","44","8","63","316","270","404","140","16.1","13","711","500","63","43","46","43","16","81","53","3","7","8","9","1","8","6","637","374","323","236","78","273","575","302","452","135","317","333","970","761","2103","414","69","1","1","2","12","51.1","23466","2753","8764","9989","4943","749","687","382","305","13129","65928","33176","592","410","149","671","471","481","14878","1214","610","618","27.1","108","229"
"2021/2022","Brentford",13,"38","13","8","18","48","56","-8","46","1.21","45.8","48.5","-2.7","-0.07","16918","33","11676","16272","5201","6312","4797","6120","1357","2852","1189","14443","1763","432","50","70","640","778","159","84","47","9","66","333","262","436","141","16.3","11","739","487","96","37","62","43","14","78","46","11","4","8","9","0","6","6","607","342","299","228","80","291","616","325","383","113","270","393","1000","863","2061","371","65","2","3","2","9","44.8","20462","2793","7862","8201","4566","819","476","262","214","10280","49925","26085","450","332","102","563","291","363","11565","1170","717","728","25.4","114","223"
"2021/2022","Aston Villa",14,"38","13","7","19","52","54","-2","45","1.18","44.0","49.0","-4.9","-0.13","41681","42","12748","16499","5916","6803","5184","6136","1239","2571","1300","14615","1832","525","71","97","670","716","196","111","42","11","52","278","293","461","159","17.6","20","837","608","85","49","41","48","6","93","65","9","9","7","3","0","3","3","634","382","300","259","75","300","649","349","453","140","313","339","973","693","1850","401","81","1","2","2","11","46.5","20609","2411","6876","8896","5049","825","587","333","254","11796","62511","31674","653","422","166","595","344","504","12668","1293","538","561","26.1","113","228"
"2021/2022","Southampton",15,"38","9","6","16","43","67","-24","40","1.05","44.8","60.0","-15.2","-0.40","30134","26","12505","16941","6089","7173","4893","6093","1112","2591","1326","15115","1784","411","43","81","711","750","233","106","105","4","42","343","249","478","161","17.7","24","814","585","68","43","51","49","18","71","44","5","6","4","9","3","4","4","602","340","285","243","74","248","581","333","430","132","298","446","1048","795","2224","402","65","1","2","2","8","47.7","21418","2216","6541","9409","5713","830","624","350","274","11085","62327","31425","728","561","197","626","366","363","12388","1314","672","726","25.7","110","232"
"2021/2022","Everton",16,"38","11","11","21","43","66","-23","39","1.03","41.2","55.4","-14.2","-0.37","38446","29","10366","14557","4889","5859","3844","4901","1215","2704","1100","12746","1758","413","30","70","653","783","161","83","60","0","53","345","255","430","130","17.7","18","742","533","69","43","42","45","10","68","46","4","4","6","8","0","7","6","705","402","369","252","84","336","735","399","496","140","356","365","1070","815","2023","368","82","2","6","5","8","40.0","19075","2289","6394","7899","5013","728","634","337","295","9422","53443","25599","512","388","143","640","325","388","10276","1086","634","725","26.7","97","240"
"2021/2022","Leeds United",17,"38","9","12","18","42","79","-37","38","1.00","44.4","67.8","-23.5","-0.62","36308","26","13989","18288","6271","7285","5921","7050","1325","2754","1483","16432","1793","417","66","140","648","798","170","100","38","3","63","368","272","480","142","18.3","13","825","589","68","52","60","42","14","66","36","2","10","10","5","3","5","5","787","437","396","298","93","408","886","478","473","143","330","395","1182","621","2260","469","101","0","3","1","5","52.3","22705","2608","8521","9502","4919","789","655","339","316","12260","67099","36354","671","412","170","676","298","368","13865","1467","470","626","26.1","106","234"
"2021/2022","Burnley",18,"38","7","7","17","34","53","-19","35","0.92","39.7","57.1","-17.4","-0.46","19278","26","9454","14107","4297","5327","3306","4472","1457","3216","972","12275","1731","370","32","135","747","783","183","152","14","1","101","334","240","405","119","17.2","14","674","455","81","28","50","50","10","60","39","9","5","3","4","0","2","1","590","324","273","235","82","250","534","284","509","211","298","410","1000","887","2027","394","68","0","2","2","9","40.2","18371","2247","5842","8051","4686","663","479","258","221","8229","42272","19061","388","300","84","540","291","332","9342","958","827","733","28.5","96","244"
"2021/2022","Watford",19,"38","6","10","27","34","77","-43","23","0.61","40.0","64.5","-24.5","-0.64","20614","26","10423","14640","4505","5496","4270","5325","1330","2903","1070","12800","1787","394","35","101","610","808","161","90","50","4","53","317","213","397","123","18.1","24","693","475","59","48","43","52","16","57","36","5","4","7","3","2","2","1","614","356","341","213","60","278","626","348","440","148","292","444","1058","899","2154","442","63","3","3","3","4","40.7","19161","2469","7245","7827","4328","625","751","395","356","9428","51370","24863","557","380","148","639","389","352","10320","1057","711","749","28.4","106","234"
"2021/2022","Norwich City",20,"38","5","7","26","23","84","-61","22","0.58","32.3","75.5","-43.2","-1.14","26836","16","12164","16070","5578","6484","4912","5949","1369","2757","1031","14176","1839","474","50","153","568","766","165","90","60","2","55","306","226","370","104","19.0","18","637","435","67","41","33","50","11","35","27","2","1","1","3","1","3","3","614","368","322","242","50","297","714","417","450","180","270","381","995","860","1887","356","57","1","1","2","6","42.9","20234","2911","8245","8047","4167","601","581","298","283","11136","60854","30074","566","356","126","548","313","431","12047","1018","493","598","26.2","114","227"
"2020/2021","Manchester City",1,"38","27","5","6","83","32","+51","86","2.26","68.2","30.2","+38.0","+1.00","526","55","23819","27167","11548","12409","9673","10628","1771","2616","2051","25546","1564","423","38","146","632","656","247","73","86","4","57","320","412","590","211","17.2","21","1067","801","61","90","57","43","15","141","100","3","17","13","6","2","9","5","498","271","198","212","88","234","576","342","310","82","228","319","817","453","1946","361","46","0","2","1","19","63.5","30700","1912","6477","15960","8504","1196","783","485","298","20039","106424","59443","1096","863","340","510","350","372","23640","2033","479","417","26.1","77","240"
"2020/2021","Manchester Utd",2,"38","21","6","6","73","44","+29","74","1.95","60.1","41.4","+18.6","+0.49","526","51","18800","22624","9248","10259","7258","8255","1597","2585","1832","20810","1738","433","34","211","640","760","197","83","87","4","76","401","377","515","196","18.1","21","953","720","73","46","58","46","10","127","94","5","8","9","9","2","11","10","551","311","252","239","60","231","572","341","418","116","302","386","937","634","2124","452","64","0","1","2","13","55.7","26617","2222","7609","11950","7323","921","711","415","293","15481","88886","47495","877","666","201","536","360","400","18671","1817","546","413","25.6","99","219"
"2020/2021","Liverpool",3,"38","20","6","9","68","42","+26","69","1.82","67.5","43.0","+24.5","+0.65","837","43","21929","26226","10789","11862","8747","9940","1715","2969","2057","24396","1765","409","44","156","862","811","257","51","147","2","65","357","524","602","204","17.1","22","1068","818","71","58","61","46","14","110","77","6","4","14","6","3","6","6","526","303","195","231","100","220","543","323","338","58","280","347","873","563","2202","396","40","0","0","0","12","62.1","30073","2075","7215","14867","8242","1211","696","407","288","19103","96220","50778","886","754","249","592","387","316","21796","2041","537","572","26.8","104","212"
"2020/2021","Chelsea",4,"38","19","14","9","58","36","+22","67","1.76","62.4","30.3","+32.1","+0.85","526","38","21969","25799","10454","11454","8965","9976","1667","2703","1798","24055","1665","402","29","154","749","732","226","77","113","2","79","362","377","546","193","17.1","16","1018","790","81","42","55","43","7","95","69","6","4","6","10","0","10","8","612","341","257","282","73","231","570","339","420","83","337","382","994","661","1999","433","51","1","3","1","18","60.9","29889","2502","8879","13917","7308","1017","657","359","298","17523","90661","48291","895","663","243","585","286","364","21851","1787","569","515","26.0","108","208"
